UNDERLOD balance curve  (buy_rate=1.0, trials=500)

  L  tier   gold  inc  spent  buy  cum  dmgM  aspM  crit   rep  elem     DPS     totHP     burst       cap  clr(s)
------------------------------------------------------------------------------------------------------------------
  1  1.0   15.0    6    7.8    3    3  0.02  0.01  0.02  0.03  0.06    61.9       675       545      8300    10.9
  2  1.0   13.2    6    7.8    3    6  0.05  0.02  0.04  0.09  0.11    84.9       810       573      8300     9.5
  3  1.0   11.4    6    7.8    3    9  0.06  0.03  0.08  0.15  0.16   114.6      1785       910      8300    15.6
  4  1.0    9.6    6    7.8    3   12  0.10  0.05  0.11  0.18  0.23   155.6      2304      1200      9960    14.8
  5  1.0    7.8    6    7.8    3   15  0.14  0.07  0.13  0.23  0.30   212.4      2970      1476      9960    14.0
  6* 1.5   10.0   10    7.2    2   17  0.14  0.08  0.16  0.29  0.35   262.5      5820      5280     14160    22.2
  7  1.5    8.8    6    7.2    2   19  0.18  0.09  0.20  0.36  0.42   365.8      8862      5069     23240    24.2
  8  1.5    7.6    6    7.2    2   21  0.22  0.11  0.22  0.36  0.42   412.0      9240      5267     23240    22.4
  9  1.5    6.4    6    3.6    1   22  0.22  0.11  0.23  0.43  0.46   462.3     10794      5829     23240    23.3
 10  1.5    8.8    6    7.2    2   24  0.25  0.12  0.25  0.44  0.50   556.0     12768      7113     26560    23.0
 11* 2.0   16.6   15   14.4    3   27  0.30  0.14  0.30  0.49  0.56   732.6      9280      7120     29360    12.7
 12  2.0    8.2    6    4.8    1   28  0.29  0.16  0.30  0.52  0.60   828.7     23712     18598     53120    28.6
 13  2.0    9.4    6    4.8    1   29  0.32  0.17  0.34  0.58  0.64  1009.6     26676     19629     59760    26.4
 14  2.0   10.6    6    9.6    2   31  0.35  0.17  0.34  0.59  0.67  1131.2     29700     18960     59760    26.3
 15  2.0    7.0    6    4.8    1   32  0.38  0.18  0.35  0.59  0.70  1241.0     29700     17728     59760    23.9
 16* 2.5   22.2   20   19.5    3   35  0.43  0.21  0.42  0.64  0.78  1732.0     21800     16824     72000    12.6
 17  2.5    8.7    6    6.5    1   36  0.44  0.22  0.44  0.67  0.80  1890.8     29640     15280     66400    15.7
 18  2.5    8.2    6    6.5    1   37  0.46  0.22  0.45  0.66  0.81  2017.9     29640     15280     66400    14.7
 19  2.5    7.7    6    6.5    1   38  0.46  0.23  0.45  0.70  0.82  2055.8     36300     18040     73040    17.7
 20  2.5    7.2    6    6.5    1   39  0.50  0.23  0.45  0.72  0.86  2410.8     39600     19680     79680    16.4
 21* 2.5   25.7   25   19.5    3   42  0.53  0.25  0.51  0.75  0.88  2886.1     25040     18560     85280     8.7
 22  2.5   12.2    6    6.5    1   43  0.52  0.28  0.53  0.77  0.94  3168.0     35568     18336     79680    11.2
 23  2.5   11.7    6    6.5    1   44  0.53  0.27  0.53  0.81  0.96  3431.6     38532     19864     86320    11.2
 24  2.5   11.2    6    6.5    1   45  0.53  0.27  0.55  0.81  0.96  3511.3     42900     21320     86320    12.2
 25* 2.5   10.7    6    6.5    1   46  0.54  0.28  0.56  0.79  0.97  3578.7     26660     19640     91920     7.4

* = boss round | totHP = sum HP to clear | burst = expected peak HP onscreen
